Тело ссылки,Ссылка
Почта,https://mail.google.com/mail/&ogbl
Картинки,https://www.google.ru/imghp?hl=ru&ogbl
Войти,https://accounts.google.com/ServiceLogin?hl=ru&passive=true&continue=https://www.google.com/&ec=GAZAmgQ
Всё о Google,https://about.google/?utm_source=google-RU&utm_medium=referral&utm_campaign=hp-footer&fg=1
Реклама,https://www.google.com/intl/ru_ru/ads/?subid=ww-ww-et-g-awa-a-g_hpafoot1_1!o2&utm_source=google.com&utm_medium=referral&utm_campaign=google_hpafooter&fg=1
Для бизнеса,https://www.google.com/services/?subid=ww-ww-et-g-awa-a-g_hpbfoot1_1!o2&utm_source=google.com&utm_medium=referral&utm_campaign=google_hpbfooter&fg=1
 Как работает Google Поиск ,https://google.com/search/howsearchworks/?fg=1
Конфиденциальность,https://policies.google.com/privacy?hl=ru&fg=1
Условия,https://policies.google.com/terms?hl=ru&fg=1
Настройки поиска,https://www.google.com/preferences?hl=ru&fg=1
Расширенный поиск,/advanced_search?hl=ru&fg=1
Ваши данные в Поиске,/history/privacyadvisor/search/unauth?utm_source=googlemenu&fg=1&cctld=com
История поиска,/history/optout?hl=ru&fg=1
Поиск в справке,https://support.google.com/websearch/?p=ws_results_help&hl=ru&fg=1
