Тело ссылки,Ссылка
"
  регистрация
",/join
"
    Приложение на телефон
  ",/mobile?utm_source=menu
m.vk.com,https://m.vk.com
"
        Узнать больше
      ",https://id.vk.com/promo
ВКонтакте,/about
О ВКонтакте,/about
Помощь,/support?act=home
Правила,/terms
Для бизнеса,/biz?utm_source=vk_inside&utm_medium=authorization
Разработчикам,https://dev.vk.com
Вакансии,/jobs
ВКонтакте,/about
О ВКонтакте,/about
Помощь,/support?act=home
Правила,/terms
Для бизнеса,/biz?utm_source=vk_inside&utm_medium=authorization
Разработчикам,https://dev.vk.com
Вакансии,/jobs
